species	V0	V1	V2	V3	V4	V5	V6
Struthio_camelus	0.640	-0.447	NA	NA	NA	0.0000592354	NA  
Callipepla_californica	1.817	0.597	NA	NA	NA	0.0003373394	NA  
Meleagris_gallopavo	1.081	0.078	NA	NA	NA	0.000173	NA
Larus_occidentalis	1.987	0.686	NA	NA	NA	0.0002572566	NA
Falco_sparverius	1.761	0.566	NA	NA	NA	0.0006460418	NA
Pyrrhura_molinae	1.898	0.641	NA	NA	NA	0.0003233122	NA
Aphelocoma_californica	1.689	0.524	NA	NA	NA	0.0001674844	NA
Haemorhous_mexicanus	1.871	0.627	NA	NA	NA	0.0003291539	NA
Dromaius_novaehollandiae	0.639	-0.448	NA	NA	NA	0.00006380883797619	NA
Enantiornithes_MPCM_LH_26189	NA	NA	NA	NA	NA	0.0000818464022871282	NA
Enantiornithes_IVPP_V_15686	NA	NA	NA	NA	NA	0.0000908679781138657	NA
Ficedula_albicollis	8.536	2.144	NA	NA	NA	0.0002110527	NA
Phasianus_colchicus	1.097	0.092	NA	NA	NA	0.000003112561994190	NA
Anas_platyrhynchos	1.494	0.401	NA	NA	NA	0.0001688397	NA
Turdus_merula	1.162	0.150	NA	NA	NA	0.0002360772	NA
Gallus_gallus	0.816	-0.203	NA	NA	NA	0.00013636598	NA
Aptenodytes_patagonicus	1.073	0.070	NA	NA	NA	0.000045987393144928	NA
Alectoris_sp	2.279	0.824	NA	NA	NA	0.000152682827084387	NA
Coturnix_coturnix 	1.576	0.455	NA	NA	NA	0.000042296344167903	NA
Chelydra_sp 	0.101	-2.296	NA	NA	NA	0.00000621118	NA
Alligator_mississippiensis 	0.045	-3.105	NA	NA	NA	0.0000593692	NA
